Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors,Student_Number
Springfield Elementary,1:00pm - 2:00pm,2024-03-26,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,17.0,W,W,F,1,F,A15959621BZD,2023-2024,4Q,2.0,
Springfield Elementary,11:00am - 12:00pm,2024-04-22,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Lobby/Commons,17.0,W,W,F,1,F,A15959621BZD,2023-2024,4Q,3.0,
Springfield Elementary,12:00pm - 1:00pm,2024-05-02,Major Violation,,Continued Misconduct,Cafeteria,17.0,W,W,F,1,F,A15959621BZD,2023-2024,4Q,2.0,
Springfield Elementary,1:00pm - 2:00pm,2024-05-02,Major Violation,,Continued Misconduct,Classroom,17.0,W,W,F,1,F,A15959621BZD,2023-2024,4Q,2.0,
Springfield Elementary,11:00am - 12:00pm,2024-05-06,Minor Violation (5 times in the same quarter),Other,,Lobby/Commons,17.0,W,W,F,1,F,A15959621BZD,2023-2024,4Q,3.0,
Hill Valley High School,9:00am - 10:00am,2024-10-24,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,F,2,R,A15959621BZD,2024-2025,2Q,0.0,
Hill Valley High School,8:00am - 9:00am,2024-10-23,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,F,2,R,A15959621BZD,2024-2025,2Q,0.0,
Hill Valley High School,12:00pm - 1:00pm,2024-09-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5.0,W,W,F,2,R,A15959621BZD,2024-2025,2Q,1.0,
Hill Valley High School,12:00pm - 1:00pm,2024-10-28,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,F,2,R,A15959621BZD,2024-2025,2Q,1.0,
Hill Valley High School,9:00am - 10:00am,2024-11-06,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,F,2,R,A15959621BZD,2024-2025,2Q,1.0,
Hill Valley High School,2:00pm -3:00pm,2024-11-08,Major Violation,,Continued Misconduct,Office/Guidance Office,5.0,W,W,F,2,R,A15959621BZD,2024-2025,2Q,1.0,
Hill Valley High School,10:00am-11:00am,2024-11-08,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,F,2,R,A15959621BZD,2024-2025,2Q,1.0,
Hill Valley High School,Before School,2025-01-16,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,5.0,W,W,F,2,R,A15959621BZD,2024-2025,3Q,1.0,
Bayside,11:00am - 12:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Bathroom,15.0,W,W,M,3,F,A15223601BZD,2024-2025,1Q,1.0,
Bayside,8:00am - 9:00am,2024-10-02,Major Violation,,Threats,Gym,15.0,W,W,M,3,F,A15223601BZD,2024-2025,1Q,1.0,
Bayside,2:00pm -3:00pm,2024-10-28,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Gym,15.0,W,W,M,3,F,A15077024BZD,2024-2025,2Q,1.0,
Bayside,2:00pm -3:00pm,2024-10-28,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Gym,15.0,W,W,M,3,F,A15144407BZD,2024-2025,2Q,1.0,
Bayside,11:00am - 12:00pm,2024-11-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15.0,W,W,M,3,F,A15144407BZD,2024-2025,2Q,2.0,
Bayside,11:00am - 12:00pm,2024-11-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15.0,W,W,M,3,F,A15077024BZD,2024-2025,2Q,2.0,
Shermer High School,12:00pm - 1:00pm,2024-02-29,Minor Violation (5 times in the same quarter),Other,,Classroom,105.0,W,W,M,8,F,A13131527BZD,2023-2024,4Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-05-02,Major Violation,,Harassment,Classroom,105.0,W,W,M,8,F,A13131527BZD,2023-2024,4Q,1.0,
Bayside,2:00pm -3:00pm,2024-09-11,Minor Violation (5 times in the same quarter),Disruption,,Bus Area/Loading Area,15.0,W,W,F,3,F,A15437579BZD,2024-2025,1Q,1.0,
Bayside,8:00am - 9:00am,2024-09-20,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15.0,W,W,F,3,F,A15437579BZD,2024-2025,1Q,2.0,
Bayside,10:00am-11:00am,2024-09-20,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15.0,W,W,M,3,F,A15144413BZD,2024-2025,1Q,1.0,
Bayside,10:00am-11:00am,2024-09-20,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15.0,W,W,F,3,F,A15437579BZD,2024-2025,1Q,3.0,
Bayside,8:00am - 9:00am,2024-09-25,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15.0,W,W,F,3,F,A15437579BZD,2024-2025,1Q,4.0,
Bayside,8:00am - 9:00am,2024-10-04,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15.0,W,W,F,3,F,A15437579BZD,2024-2025,1Q,5.0,
Bayside,1:00pm - 2:00pm,2024-11-18,Minor Violation (5 times in the same quarter),Other,,Playground,15.0,W,W,M,2,P,A15849857BZD,2024-2025,2Q,1.0,
Bayside,8:00am - 9:00am,2024-11-22,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15.0,W,W,F,3,F,A15437579BZD,2024-2025,2Q,1.0,
Springfield Elementary,12:00pm - 1:00pm,2024-03-27,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,17.0,W,W,M,1,F,A15617582BZD,2023-2024,4Q,1.0,
Bayside,10:00am-11:00am,2024-08-15,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Gym,15.0,W,W,M,2,F,A15617582BZD,2024-2025,1Q,1.0,
Bayside,1:00pm - 2:00pm,2024-08-21,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,M,2,F,A15617582BZD,2024-2025,1Q,2.0,
Bayside,10:00am-11:00am,2024-08-20,Major Violation,,Continued Misconduct,Gym,15.0,W,W,M,2,F,A15617582BZD,2024-2025,1Q,2.0,
Bayside,11:00am - 12:00pm,2024-11-20,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15.0,W,W,M,2,F,A15617582BZD,2024-2025,2Q,1.0,
Bayside,11:00am - 12:00pm,2024-12-02,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15.0,W,W,M,2,F,A15617582BZD,2024-2025,2Q,2.0,
Bayside,12:00pm - 1:00pm,2024-11-19,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,M,2,F,A15617582BZD,2024-2025,2Q,3.0,
Bayside,11:00am - 12:00pm,2024-12-02,Major Violation,,Exceeded minor maximum count,Cafeteria,15.0,W,W,M,2,F,A15617582BZD,2024-2025,2Q,3.0,
Bayside,Before School,2024-12-09,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Lobby/Commons,15.0,W,W,M,2,F,A15617582BZD,2024-2025,2Q,4.0,
Bayside,11:00am - 12:00pm,2024-12-11,Major Violation,,Continued Misconduct,Cafeteria,15.0,W,W,M,2,F,A15617582BZD,2024-2025,2Q,4.0,
Bayside,1:00pm - 2:00pm,2024-12-16,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,M,2,F,A15617582BZD,2024-2025,2Q,5.0,
Hill Valley High School,9:00am - 10:00am,2024-11-12,Minor Violation (5 times in the same quarter),Other,,Classroom,5.0,W,W,F,2,F,A15090431BZD,2024-2025,2Q,1.0,
Hill Valley High School,2:00pm -3:00pm,2024-11-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5.0,W,W,M,2,F,A15553781BZD,2024-2025,2Q,1.0,
Hill Valley High School,8:00am - 9:00am,2024-11-13,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5.0,W,W,M,2,F,A15553781BZD,2024-2025,2Q,2.0,
Hill Valley High School,8:00am - 9:00am,2024-10-01,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,M,3,F,A14943248BZD,2024-2025,2Q,0.0,
Hill Valley High School,Before School,2025-01-24,Minor Violation (5 times in the same quarter),Other,,Cafeteria,5.0,W,W,M,3,F,A14943248BZD,2024-2025,3Q,1.0,
Shermer High School,After School,2025-02-04,Major Violation,,Continued Misconduct,Bus Area/Loading Area,105.0,W,W,M,8,F,A16674929BZD,2024-2025,3Q,0.0,
Springfield Elementary,1:00pm - 2:00pm,2024-04-29,Major Violation,,Continued Misconduct,Classroom,17.0,W,W,M,1,F,A15586676BZD,2023-2024,4Q,0.0,
Springfield Elementary,10:00am-11:00am,2024-03-21,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Bathroom,17.0,W,W,M,0,F,A16030868BZD,2023-2024,4Q,1.0,
Shermer High School,2:00pm -3:00pm,2024-03-18,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,7,F,A13379993BZD,2023-2024,4Q,1.0,
Shermer High School,8:00am - 9:00am,2024-04-17,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,7,F,A13379993BZD,2023-2024,4Q,2.0,
Shermer High School,10:00am-11:00am,2024-11-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,105.0,W,W,M,10,P,A13086344BZD,2024-2025,2Q,1.0,
Bayside,Before School,2024-10-24,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,15.0,W,W,M,3,P,A13669343BZD,2024-2025,2Q,1.0,
Shermer High School,1:00pm - 2:00pm,2024-03-22,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,11,F,A13607357BZD,2023-2024,4Q,1.0,
Shermer High School,2:00pm -3:00pm,2024-09-24,Minor Violation (5 times in the same quarter),Insubordination,,Bus Area/Loading Area,105.0,W,W,M,5,F,A16747604BZD,2024-2025,1Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-11-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,W,W,M,5,F,A16747604BZD,2024-2025,2Q,1.0,
Shermer High School,After School,2024-12-10,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Bus Area/Loading Area,105.0,W,W,M,5,F,A16747604BZD,2024-2025,2Q,2.0,
Shermer High School,11:00am - 12:00pm,2024-12-12,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Gym,105.0,W,W,M,5,F,A16747604BZD,2024-2025,2Q,3.0,
Shermer High School,Before School,2025-01-23,Minor Violation (5 times in the same quarter),Other,,Lobby/Commons,105.0,W,W,M,5,F,A16747604BZD,2024-2025,3Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2024-04-05,Major Violation,,Fighting,Lobby/Commons,17.0,W,W,M,0,P,A15903068BZD,2023-2024,4Q,0.0,
Springfield Elementary,Before School,2024-09-06,Minor Violation (5 times in the same quarter),Other,,Hallway,17.0,W,W,M,1,F,A15903068BZD,2024-2025,1Q,1.0,
Springfield Elementary,After School,2024-08-26,Minor Violation (5 times in the same quarter),Other,,Cafeteria,17.0,W,W,M,1,F,A15903068BZD,2024-2025,1Q,1.0,
Springfield Elementary,12:00pm - 1:00pm,2024-09-26,Major Violation,,Assault,Cafeteria,17.0,W,W,M,1,F,A15903068BZD,2024-2025,1Q,1.0,
Springfield Elementary,2:00pm -3:00pm,2024-09-27,Major Violation,,Continued Misconduct,Classroom,17.0,W,W,M,1,F,A15903068BZD,2024-2025,1Q,1.0,
Springfield Elementary,2:00pm -3:00pm,2024-10-21,Minor Violation (5 times in the same quarter),Other,,Bathroom,17.0,W,W,M,0,P,A16548314BZD,2024-2025,2Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2024-10-24,Major Violation,,Threats,Cafeteria,17.0,W,W,M,1,P,A15903068BZD,2024-2025,2Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2024-11-04,Major Violation,,Threats,Classroom,17.0,W,W,M,1,P,A15903068BZD,2024-2025,2Q,1.0,
Springfield Elementary,10:00am-11:00am,2024-11-21,Minor Violation (5 times in the same quarter),Other,,Classroom,17.0,W,W,M,1,P,A15903068BZD,2024-2025,2Q,2.0,
Springfield Elementary,12:00pm - 1:00pm,2024-11-21,Minor Violation (5 times in the same quarter),Other,,Classroom,17.0,W,W,M,1,P,A15903068BZD,2024-2025,2Q,3.0,
Springfield Elementary,9:00am - 10:00am,2025-01-28,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Office/Guidance Office,17.0,W,W,M,1,P,A15903068BZD,2024-2025,3Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2025-01-28,Major Violation,,Continued Misconduct,Classroom,17.0,W,W,M,1,P,A15903068BZD,2024-2025,3Q,1.0,
Springfield Elementary,8:00am - 9:00am,2025-01-29,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,17.0,W,W,M,1,P,A15903068BZD,2024-2025,3Q,2.0,
Springfield Elementary,10:00am-11:00am,2025-02-05,Major Violation,,"Continued Misconduct,Leaving class/school without permission",Media Center,17.0,W,W,M,1,P,A15903068BZD,2024-2025,3Q,2.0,
Springfield Elementary,9:00am - 10:00am,2024-10-28,Major Violation,,Assault,Classroom,17.0,W,W,M,1,P,A16030871BZD,2024-2025,2Q,0.0,
Springfield Elementary,2:00pm -3:00pm,2024-11-07,Major Violation,,Assault,Classroom,17.0,W,W,M,1,P,A16030871BZD,2024-2025,2Q,0.0,
Springfield Elementary,10:00am-11:00am,2024-11-14,Major Violation,,"Assault,Continued Misconduct",Classroom,17.0,W,W,M,1,P,A16030871BZD,2024-2025,2Q,0.0,
Bayside,8:00am - 9:00am,2024-09-20,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15.0,W,W,F,3,F,A15204425BZD,2024-2025,1Q,1.0,
Hill Valley High School,11:00am - 12:00pm,2024-12-12,Major Violation,,Continued Misconduct,Cafeteria,5.0,W,W,M,1,R,A15856601BZD,2024-2025,2Q,0.0,
Shermer High School,12:00pm - 1:00pm,2024-03-06,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105.0,W,W,M,10,P,A12692066BZD,2023-2024,4Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-03-25,Major Violation,,Continued Misconduct,Classroom,105.0,W,W,M,10,P,A12692066BZD,2023-2024,4Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-04-04,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,W,W,M,10,P,A12692066BZD,2023-2024,4Q,2.0,
Shermer High School,12:00pm - 1:00pm,2024-04-08,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,10,P,A12692066BZD,2023-2024,4Q,3.0,
Shermer High School,11:00am - 12:00pm,2024-04-11,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105.0,W,W,M,10,P,A12692066BZD,2023-2024,4Q,4.0,
Shermer High School,11:00am - 12:00pm,2024-04-11,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105.0,W,W,M,10,P,A12692066BZD,2023-2024,4Q,5.0,
Shermer High School,11:00am - 12:00pm,2024-04-12,Major Violation,,Continued Misconduct,Classroom,105.0,W,W,M,10,P,A12692066BZD,2023-2024,4Q,5.0,
Shermer High School,2:00pm -3:00pm,2024-04-12,Major Violation,,Continued Misconduct,Hallway,105.0,W,W,M,10,P,A12692066BZD,2023-2024,4Q,5.0,
Shermer High School,9:00am - 10:00am,2024-11-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,W,W,M,11,P,A12692066BZD,2024-2025,2Q,1.0,
Shermer High School,1:00pm - 2:00pm,2024-11-19,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,11,P,A12692066BZD,2024-2025,2Q,2.0,
Shermer High School,11:00am - 12:00pm,2024-11-20,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,W,W,M,11,P,A12692066BZD,2024-2025,2Q,3.0,
Shermer High School,11:00am - 12:00pm,2024-12-02,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,11,P,A12692066BZD,2024-2025,2Q,4.0,
Shermer High School,10:00am-11:00am,2024-12-09,Major Violation,,"Continued Misconduct,Threats,Exceeded minor maximum count",Classroom,105.0,W,W,M,11,P,A12692066BZD,2024-2025,2Q,4.0,
Shermer High School,10:00am-11:00am,2024-12-09,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Office/Guidance Office,105.0,W,W,M,11,P,A12692066BZD,2024-2025,2Q,5.0,
Shermer High School,10:00am-11:00am,2025-01-15,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105.0,W,W,M,11,P,A12692066BZD,2024-2025,3Q,1.0,
Shermer High School,After School,2025-02-04,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",Bus Area/Loading Area,105.0,W,W,M,11,P,A12692066BZD,2024-2025,3Q,1.0,
Rydell High School,10:00am-11:00am,2024-08-30,Minor Violation (5 times in the same quarter),Other,,Cafeteria,35.0,W,W,M,2,P,A15993329BZD,2024-2025,1Q,1.0,
Rydell High School,10:00am-11:00am,2024-11-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,35.0,W,W,M,2,P,A15993329BZD,2024-2025,2Q,1.0,
Bayside,11:00am - 12:00pm,2024-09-16,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15.0,W,W,M,3,F,A15465956BZD,2024-2025,1Q,1.0,
Bayside,8:00am - 9:00am,2024-12-18,Minor Violation (5 times in the same quarter),Disruption,,Assembly/Special Event/Field Trip,15.0,W,W,M,3,F,A15465956BZD,2024-2025,2Q,1.0,
Bayside,2:00pm -3:00pm,2024-08-13,Minor Violation (5 times in the same quarter),Other,,Classroom,0.0,W,W,M,2,R,A15849737BZD,2024-2025,1Q,1.0,
Bayside,1:00pm - 2:00pm,2024-09-10,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,M,2,R,A15849737BZD,2024-2025,1Q,2.0,
Shermer High School,12:00pm - 1:00pm,2024-04-16,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,5,F,A14566694BZD,2023-2024,4Q,1.0,
Shermer High School,1:00pm - 2:00pm,2024-04-23,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Gym,105.0,W,W,M,5,F,A14566694BZD,2023-2024,4Q,2.0,
Shermer High School,9:00am - 10:00am,2024-04-24,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,5,F,A14566694BZD,2023-2024,4Q,2.0,
Shermer High School,12:00pm - 1:00pm,2024-04-29,Major Violation,,"Fighting,Continued Misconduct,Threats",Classroom,105.0,W,W,M,5,F,A14566694BZD,2023-2024,4Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-05-06,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,5,F,A14566694BZD,2023-2024,4Q,2.0,
Shermer High School,1:00pm - 2:00pm,2024-05-06,Major Violation,,"Harassment,Bullying",Classroom,105.0,W,W,M,5,F,A14566694BZD,2023-2024,4Q,1.0,
Shermer High School,11:00am - 12:00pm,2024-05-06,Major Violation,,Weapons,Classroom,105.0,W,W,M,5,F,A14566694BZD,2023-2024,4Q,1.0,
Shermer High School,10:00am-11:00am,2024-11-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,W,W,M,6,F,A14566694BZD,2024-2025,2Q,1.0,
Shermer High School,11:00am - 12:00pm,2024-11-18,Major Violation,,Assault,Classroom,105.0,W,W,M,6,F,A14566694BZD,2024-2025,2Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-11-20,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105.0,W,W,M,6,F,A14566694BZD,2024-2025,2Q,2.0,
Shermer High School,11:00am - 12:00pm,2024-11-18,Major Violation,,Assault,Classroom,105.0,W,W,M,6,F,A14566694BZD,2024-2025,2Q,2.0,
Shermer High School,12:00pm - 1:00pm,2024-11-18,Major Violation,,Assault,Classroom,105.0,W,W,M,6,F,A14566694BZD,2024-2025,2Q,2.0,
Shermer High School,11:00am - 12:00pm,2024-12-02,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,W,W,M,6,F,A14566694BZD,2024-2025,2Q,3.0,
Shermer High School,10:00am-11:00am,2024-03-27,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105.0,B,B,M,8,F,A14200148BZD,2023-2024,4Q,1.0,
Shermer High School,2:00pm -3:00pm,2024-04-03,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,105.0,B,B,M,8,F,A14200148BZD,2023-2024,4Q,2.0,
Bayside,12:00pm - 1:00pm,2024-11-01,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,M,3,F,A15465404BZD,2024-2025,2Q,1.0,
Springfield Elementary,2:00pm -3:00pm,2024-04-04,Minor Violation (5 times in the same quarter),Other,,Bathroom,17.0,W,W,F,0,F,A15856997BZD,2023-2024,4Q,1.0,
Rydell High School,9:00am - 10:00am,2024-11-11,Minor Violation (5 times in the same quarter),Other,,Classroom,35.0,W,W,M,4,P,A15142439BZD,2024-2025,2Q,1.0,
Shermer High School,9:00am - 10:00am,2024-05-06,Major Violation,,"Continued Misconduct,Bullying",Classroom,105.0,W,W,M,10,F,A15808289BZD,2023-2024,4Q,0.0,
Hill Valley High School,After School,2025-01-29,Major Violation,,Continued Misconduct,Gym,5.0,W,W,M,1,F,A16263224BZD,2024-2025,3Q,0.0,
Bayside,8:00am - 9:00am,2024-10-22,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,M,4,F,A13369364BZD,2024-2025,1Q,1.0,
Bayside,12:00pm - 1:00pm,2024-10-24,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15.0,W,W,M,4,F,A13369361BZD,2024-2025,2Q,1.0,
Bayside,11:00am - 12:00pm,2024-10-02,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,M,3,F,A15303116BZD,2024-2025,1Q,1.0,
Bayside,9:00am - 10:00am,2024-10-28,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,15.0,W,W,M,3,F,A15303116BZD,2024-2025,2Q,1.0,
Bayside,10:00am-11:00am,2024-11-14,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Bathroom,15.0,W,W,M,3,F,A15303116BZD,2024-2025,2Q,2.0,
Rydell High School,2:00pm -3:00pm,2024-12-12,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Classroom,35.0,W,W,M,2,F,A15442787BZD,2024-2025,2Q,1.0,
Hill Valley High School,11:00am - 12:00pm,2024-09-30,Major Violation,,Continued Misconduct,Cafeteria,5.0,W,W,M,1,F,A16437914BZD,2024-2025,2Q,0.0,
Bayside,8:00am - 9:00am,2024-10-25,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,F,4,F,A14911718BZD,2024-2025,2Q,1.0,
Bayside,11:00am - 12:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15.0,W,W,F,2,F,A15849536BZD,2024-2025,1Q,1.0,
Bayside,2:00pm -3:00pm,2024-11-15,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,M,4,F,A15142472BZD,2024-2025,2Q,1.0,
Bayside,12:00pm - 1:00pm,2024-11-26,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Cafeteria,15.0,W,W,M,4,F,A15142472BZD,2024-2025,2Q,2.0,
Springfield Elementary,11:00am - 12:00pm,2024-03-27,Minor Violation (5 times in the same quarter),Other,,Music Room,17.0,W,W,M,0,F,A15850136BZD,2023-2024,4Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-04-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,17.0,W,W,M,0,F,A15850136BZD,2023-2024,4Q,2.0,
Springfield Elementary,12:00pm - 1:00pm,2024-09-17,Minor Violation (5 times in the same quarter),Other,,Gym,17.0,W,W,M,1,F,A15850136BZD,2024-2025,1Q,1.0,
